iter,norm(d0-d)^2,gradient norm
1,3750.211278,23079.45802
2,2963.391265,443.1079985
3,1004.129723,8683.633391
4,616.6649097,114.4917531
5,593.564474,24.00715025
6,592.4292856,6.262264418
7,584.8290839,77.15218105
8,464.2617462,1808.730931
9,267.0587163,1146.768981
10,242.459721,11.80716371
11,156.2278808,947.8857028
12,75.40733988,112.7222723
13,73.2503266,0.874686372
14,63.45651217,11.00911307
15,63.19380488,0.506816606
16,61.132559,9.051328417
17,60.91595485,0.623860545
18,59.97998601,12.97906386
19,59.67784807,0.754783466
20,57.96926425,14.57330464
21,45.58602253,23.94005273
22,44.55573075,3.654071907
23,44.22819715,1.068767913
24,44.17406688,0.956325067
25,32.29941576,59.42838959
26,29.90653715,9.286552125
27,29.40100898,0.278130623
28,29.36718659,0.610731277
29,22.26218991,95.33721958
30,19.99280259,0.577935451
31,19.68511963,4.424051067
32,9.197119229,10.67326152
33,8.935594137,0.220201892
34,8.823659809,0.35399676
35,7.790469551,15.89275011
36,7.466576887,0.178775976
37,7.407397337,0.504939916
38,6.446634382,1.915839332
39,6.40972888,0.016682511
40,1.968333695,38.23464135
41,1.074909783,0.110685094
42,0.853543075,2.303224636
43,0.091181386,0.359547367
44,0.083303626,0.003228318
45,0.077294172,0.003370287
46,0.005113415,0.01975567
47,0.004716847,0.000106994
48,0.004009786,0.00013678
49,0.003310922,5.33E-05
50,0.00330665,0.000162479
51,0.002304032,3.72E-05
52,0.002230023,0.00355652
53,0.000158694,1.36E-05
54,0.000149616,0.000290224
55,4.40E-05,1.33E-05
56,4.37E-05,1.27E-07
57,0,0.00E+00
58,0,0.00E+00
59,0,0.00E+00
60,0,0.00E+00
61,0,0.00E+00
62,0,0.00E+00
63,0,0.00E+00
64,0,0.00E+00
65,0,0.00E+00
66,0,0.00E+00
67,0,0.00E+00
68,0,0.00E+00
69,0,0.00E+00
70,0,0.00E+00
71,0,0.00E+00
72,0,0.00E+00
73,0,0.00E+00
74,0,0.00E+00
75,0,0.00E+00
76,0,0.00E+00
77,0,0.00E+00
78,0,0.00E+00
79,0,0.00E+00
80,0,0.00E+00
81,0,0.00E+00
82,0,0.00E+00
83,0,0.00E+00
84,0,0.00E+00
85,0,0.00E+00
86,0,0.00E+00
87,0,0.00E+00
88,0,0.00E+00
89,0,0.00E+00
90,0,0.00E+00
91,0,0.00E+00
92,0,0.00E+00
93,0,0.00E+00
94,0,0.00E+00
95,0,0.00E+00
96,0,0.00E+00
97,0,0.00E+00
98,0,0.00E+00
99,0,0.00E+00
100,0,0.00E+00
