iter,norm(d_hat-d)^2,gradient norm
1,5258.6,37.189
2,5258.6,9.2973
3,5258.6,2.3243
4,5258.6,0.58108
5,5258.6,0.14527
6,5258.6,0.036318
7,5258.6,0.0090794
8,5258.6,0.0022698
9,5258.6,0.00056746
10,5258.6,0.00014187
11,5258.6,3.55E-05
12,5258.6,8.87E-06
13,5258.6,2.22E-06
14,5258.6,5.54E-07
15,5258.6,1.39E-07
16,5258.6,3.46E-08
17,5258.6,8.66E-09
18,5258.6,2.16E-09
19,5258.6,5.41E-10
20,5258.6,1.35E-10
21,5258.6,3.38E-11
22,5258.6,8.46E-12
23,5258.6,2.11E-12
24,5258.6,5.28E-13
25,5258.6,1.32E-13
26,5258.6,3.30E-14
27,5258.6,8.26E-15
28,5258.6,2.06E-15
29,5258.6,5.16E-16
30,5258.6,1.29E-16
31,5258.6,3.23E-17
32,5258.6,8.06E-18
33,5258.6,2.02E-18
34,5258.6,5.04E-19
35,5258.6,1.26E-19
36,5258.6,3.15E-20
37,5258.6,7.88E-21
38,5258.6,1.97E-21
39,5258.6,4.92E-22
40,5258.6,1.23E-22
41,5258.6,3.08E-23
42,5258.6,7.69E-24
43,5258.6,1.92E-24
44,5258.6,4.81E-25
45,5258.6,1.20E-25
46,5258.6,3.00E-26
47,5258.6,7.51E-27
48,5258.6,1.88E-27
49,5258.6,4.69E-28
50,5258.6,1.17E-28
