iter,norm(d0-d)^2,gradient norm,,,,
1,79547,7900.7,-1675.9,752.22,-1432.7,-7549.4
2,28864,1733.2,-471.21,176.45,-402.63,-1608.9
3,13019,949.4,-275.74,99.617,-229,-873.48
4,7103.7,574.43,-176.78,63.266,-140.29,-524.44
5,4699.4,364.17,-119.5,43.09,-88.699,-329.57
6,3672.5,237.13,-84.185,30.981,-56.794,-212.03
7,3218.6,157.19,-61.619,23.383,-36.382,-137.99
8,3011.6,105.8,-46.889,18.482,-23.052,-90.127
9,2913.4,72.506,-37.139,15.264,-14.236,-58.67
10,2863.9,51.062,-30.627,13.124,-8.3577,-37.778
11,2836.4,37.574,-26.248,11.689,-4.4181,-23.806
12,2819,29.469,-23.29,10.719,-1.7697,-14.421
13,2806.1,24.894,-21.282,10.059,0.013575,-8.0995
14,2795.3,22.472,-19.912,9.6077,1.2149,-3.834
15,2785.6,21.247,-18.974,9.2956,2.0236,-0.95346
16,2776.3,20.636,-18.327,9.0778,2.5671,0.99205
17,2767.3,20.325,-17.877,8.9235,2.9312,2.3054
18,2758.3,20.156,-17.56,8.8122,3.1738,3.1908
19,2749.5,20.053,-17.334,8.7301,3.3342,3.7864
20,2740.8,19.98,-17.168,8.6676,3.4388,4.1858
21,2732,19.922,-17.044,8.6185,3.5057,4.4521
22,2723.4,19.871,-16.949,8.5784,3.5469,4.6282
23,2714.7,19.822,-16.872,8.5445,3.5709,4.7432
24,2706.1,19.775,-16.808,8.5148,3.5831,4.8169
25,2697.6,19.729,-16.753,8.4879,3.5874,4.8624
26,2689.1,19.683,-16.704,8.463,3.5863,4.889
27,2680.6,19.638,-16.66,8.4395,3.5815,4.9027
28,2672.2,19.592,-16.618,8.4169,3.5743,4.9078
29,2663.8,19.547,-16.578,8.3949,3.5655,4.9069
30,2655.4,19.502,-16.539,8.3734,3.5556,4.9021
31,2647.1,19.458,-16.502,8.3523,3.5449,4.8946
32,2638.8,19.413,-16.465,8.3313,3.5338,4.8854
33,2630.6,19.368,-16.428,8.3106,3.5223,4.8749
34,2622.4,19.324,-16.392,8.2901,3.5106,4.8636
35,2614.2,19.279,-16.356,8.2696,3.4988,4.8518
36,2606.1,19.236,-16.321,8.2493,3.487,4.8397
37,2598,19.191,-16.285,8.229,3.475,4.8274
38,2590,19.147,-16.25,8.2089,3.4631,4.815
39,2582,19.104,-16.215,8.1888,3.4512,4.8024
40,2574,19.06,-16.18,8.1688,3.4393,4.7899
41,2566,19.017,-16.145,8.1488,3.4274,4.7774
42,2558.1,18.973,-16.11,8.129,3.4155,4.7648
43,2550.3,18.93,-16.075,8.1091,3.4036,4.7523
44,2542.4,18.887,-16.041,8.0894,3.3918,4.7398
45,2534.6,18.844,-16.006,8.0697,3.38,4.7274
46,2526.9,18.801,-15.972,8.0501,3.3683,4.715
47,2519.1,18.759,-15.938,8.0306,3.3566,4.7027
48,2511.4,18.716,-15.904,8.0111,3.3449,4.6904
49,2503.8,18.674,-15.87,7.9917,3.3332,4.6782
50,2496.1,18.632,-15.836,7.9723,3.3216,4.666
51,2488.6,18.589,-15.802,7.9531,3.31,4.6538
52,2481,18.547,-15.768,7.9338,3.2985,4.6417
53,2473.5,18.505,-15.734,7.9147,3.2869,4.6297
54,2466,18.464,-15.701,7.8956,3.2754,4.6177
55,2458.5,18.422,-15.667,7.8765,3.264,4.6057
56,2451.1,18.381,-15.634,7.8576,3.2526,4.5938
57,2443.7,18.339,-15.601,7.8386,3.2412,4.582
58,2436.4,18.298,-15.567,7.8198,3.2298,4.5702
59,2429.1,18.256,-15.534,7.801,3.2185,4.5584
60,2421.8,18.215,-15.501,7.7823,3.2072,4.5467
61,2414.5,18.175,-15.468,7.7636,3.1959,4.5351
62,2407.3,18.134,-15.436,7.745,3.1847,4.5235
63,2400.1,18.094,-15.403,7.7264,3.1735,4.5119
64,2392.9,18.053,-15.37,7.7079,3.1623,4.5004
65,2385.8,18.013,-15.338,7.6895,3.1512,4.4889
66,2378.7,17.972,-15.305,7.6711,3.1401,4.4775
67,2371.7,17.932,-15.273,7.6528,3.129,4.4661
68,2364.6,17.892,-15.241,7.6345,3.118,4.4548
69,2357.6,17.853,-15.209,7.6163,3.107,4.4435
70,2350.6,17.813,-15.177,7.5982,3.096,4.4323
71,2343.7,17.773,-15.145,7.5801,3.085,4.4211
72,2336.8,17.734,-15.113,7.5621,3.0741,4.4099
73,2329.9,17.694,-15.081,7.5441,3.0632,4.3988
74,2323.1,17.655,-15.049,7.5262,3.0524,4.3878
75,2316.3,17.616,-15.018,7.5083,3.0415,4.3767
76,2309.5,17.577,-14.986,7.4905,3.0308,4.3658
77,2302.7,17.538,-14.955,7.4728,3.02,4.3548
78,2296,17.499,-14.923,7.4551,3.0093,4.344
79,2289.3,17.46,-14.892,7.4375,2.9985,4.3331
80,2282.6,17.422,-14.861,7.4199,2.9879,4.3223
81,2276,17.383,-14.83,7.4024,2.9772,4.3116
82,2269.4,17.345,-14.799,7.3849,2.9666,4.3009
83,2262.8,17.307,-14.768,7.3675,2.956,4.2902
84,2256.3,17.268,-14.737,7.3501,2.9455,4.2796
85,2249.7,17.23,-14.706,7.3328,2.9349,4.269
86,2243.2,17.193,-14.676,7.3156,2.9244,4.2584
